State Fips Code,County Fips Code,Name,Housing Unit Estimate,Rodent Estimate,90% CI Lower Bound,90% CI Upper Bound
26,013,"Baraga County, MI","5,306"," 	1,794 ", 	784 ," 	2,804 "
26,015,"Barry County, MI","27,975"," 	9,029 "," 	4,686 "," 	13,372 "
26,017,"Bay County, MI","48,366"," 	9,394 "," 	4,106 "," 	14,682 "
26,019,"Benzie County, MI","12,649"," 	2,995 "," 	1,334 "," 	4,657 "
26,021,"Berrien County, MI","77,891"," 	13,136 "," 	5,741 "," 	20,531 "
26,023,"Branch County, MI","21,023"," 	5,364 "," 	2,344 "," 	8,384 "
26,025,"Calhoun County, MI","60,906"," 	11,841 "," 	5,481 "," 	18,201 "
26,027,"Cass County, MI","26,520"," 	7,001 "," 	3,060 "," 	10,943 "
26,029,"Charlevoix County, MI","17,853"," 	3,737 "," 	1,633 "," 	5,840 "
26,031,"Cheboygan County, MI","18,651"," 	4,059 "," 	1,774 "," 	6,344 "
26,033,"Chippewa County, MI","21,518"," 	4,809 "," 	2,102 "," 	7,517 "
26,035,"Clare County, MI","23,458"," 	4,334 "," 	1,894 "," 	6,773 "
26,037,"Clinton County, MI","32,155"," 	7,257 "," 	3,172 "," 	11,343 "
26,039,"Crawford County, MI","11,258"," 	2,101 ", 	918 ," 	3,284 "
26,041,"Delta County, MI","20,429"," 	4,516 "," 	1,974 "," 	7,058 "
26,043,"Dickinson County, MI","14,134"," 	3,030 "," 	1,325 "," 	4,736 "
26,045,"Eaton County, MI","47,801"," 	8,487 "," 	3,709 "," 	13,265 "
26,047,"Emmet County, MI","21,864"," 	4,637 "," 	2,027 "," 	7,248 "
26,049,"Genesee County, MI","192,902"," 	26,934 "," 	11,772 "," 	42,097 "
26,051,"Gladwin County, MI","17,984"," 	3,895 "," 	1,702 "," 	6,088 "
26,053,"Gogebic County, MI","10,788"," 	2,964 "," 	1,295 "," 	4,632 "
26,055,"Grand Traverse County, MI","45,119"," 	7,829 "," 	3,422 "," 	12,236 "
26,057,"Gratiot County, MI","16,370"," 	4,709 "," 	2,058 "," 	7,359 "
26,059,"Hillsdale County, MI","22,122"," 	5,997 "," 	2,621 "," 	9,374 "
26,061,"Houghton County, MI","18,946"," 	4,556 "," 	1,991 "," 	7,120 "
26,063,"Huron County, MI","21,332"," 	5,756 "," 	2,516 "," 	8,996 "
26,065,"Ingham County, MI","124,349"," 	16,118 "," 	7,546 "," 	24,690 "
26,067,"Ionia County, MI","25,172"," 	6,979 "," 	3,050 "," 	10,907 "
26,069,"Iosco County, MI","20,573"," 	3,729 "," 	1,630 "," 	5,828 "
26,071,"Iron County, MI","9,344"," 	2,546 "," 	1,113 "," 	3,979 "
26,073,"Isabella County, MI","29,308"," 	5,836 "," 	2,551 "," 	9,121 "
26,075,"Jackson County, MI","69,807"," 	14,564 "," 	6,365 "," 	22,763 "
26,077,"Kalamazoo County, MI","113,089"," 	17,555 "," 	8,139 "," 	26,971 "
26,079,"Kalkaska County, MI","12,469"," 	2,814 "," 	1,230 "," 	4,399 "
26,081,"Kent County, MI","259,375"," 	42,869 "," 	24,061 "," 	61,676 "
